,RN,RY,DN,DY,total
inability,0.0,0.00280898876404,0.0103092783505,0.0,4.0
model,0.0,0.00842696629213,0.0171821305842,0.0681818181818,11.0
bodies,0.0,0.00561797752809,0.00687285223368,0.0,4.0
actions,0.0,0.0280898876404,0.0824742268041,0.0454545454545,36.0
unclear,0.0,0.00280898876404,0.0,0.0227272727273,2.0
kill,0.0,0.00561797752809,0.0309278350515,0.0,11.0
hopeful,0.0,0.00842696629213,0.0,0.0,3.0
announcement,0.0,0.0112359550562,0.0171821305842,0.0,9.0
embezzled,0.0,0.00280898876404,0.00687285223368,0.0,3.0
scheduled,0.0,0.00561797752809,0.00343642611684,0.0,3.0
virginia,0.0,0.064606741573,0.0274914089347,0.0454545454545,33.0
accepted,0.0,0.00842696629213,0.0103092783505,0.0,6.0
wrongful,0.0,0.00280898876404,0.00343642611684,0.0,2.0
reduced,0.0,0.0140449438202,0.0171821305842,0.0227272727273,11.0
burdens,0.0,0.00280898876404,0.00687285223368,0.0,3.0
picture,0.0,0.00280898876404,0.0103092783505,0.0,4.0
competition,0.0,0.0533707865169,0.0,0.0,19.0
moot,0.0,0.00561797752809,0.0,0.0,2.0
provider,0.0,0.00280898876404,0.00343642611684,0.0,2.0
communicate,0.0,0.00280898876404,0.00343642611684,0.0,2.0
problein,0.0,0.0140449438202,0.0137457044674,0.0,9.0
slaughter,0.0,0.0252808988764,0.0137457044674,0.0454545454545,15.0
probleit,0.0,0.00280898876404,0.00343642611684,0.0,2.0
ok,0.0,0.00561797752809,0.0,0.0,2.0
oh,0.0,0.00842696629213,0.0103092783505,0.0,6.0
discussed,0.0,0.0196629213483,0.0137457044674,0.0,11.0
stand,0.0,0.0449438202247,0.0756013745704,0.0454545454545,40.0
undervalue,0.0,0.00561797752809,0.0,0.0,2.0
communication,0.0,0.00561797752809,0.0,0.0,2.0
garner,0.0,0.00561797752809,0.00687285223368,0.0,4.0
lastly,0.0,0.00280898876404,0.00343642611684,0.0,2.0
strictly,0.0,0.00842696629213,0.00687285223368,0.0,5.0
hazards,0.0,0.00280898876404,0.00343642611684,0.0,2.0
alleged,0.0,0.00842696629213,0.00343642611684,0.0,4.0
strict,0.0,0.00561797752809,0.0137457044674,0.0454545454545,8.0
valley,0.0,0.0224719101124,0.0103092783505,0.0227272727273,12.0
fish,0.0,0.00842696629213,0.0,0.0227272727273,4.0
regard,0.0,0.0140449438202,0.0549828178694,0.0,21.0
burro,0.0,0.0224719101124,0.0,0.0454545454545,10.0
garnered,0.0,0.00280898876404,0.00343642611684,0.0,2.0
20-80,0.0,0.00842696629213,0.0,0.0,3.0
promote,0.0,0.0112359550562,0.020618556701,0.0,10.0
faster,0.0,0.00561797752809,0.00687285223368,0.0,4.0
applying,0.0,0.00561797752809,0.0137457044674,0.0227272727273,7.0
bipartisanship,0.0,0.00561797752809,0.0240549828179,0.0,9.0
katrina,0.0,0.0140449438202,0.0515463917526,0.0,20.0
grass,0.0,0.00561797752809,0.00343642611684,0.0,3.0
taylor,0.0,0.0196629213483,0.00343642611684,0.0,8.0
minneapolis,0.0,0.00561797752809,0.0,0.0,2.0
britain,0.0,0.00561797752809,0.0,0.0,2.0
spends,0.0,0.00561797752809,0.0,0.0,2.0
incorrect,0.0,0.00280898876404,0.00343642611684,0.0,2.0
piracy,0.0,0.0140449438202,0.00687285223368,0.0,7.0
deserve,0.0,0.0140449438202,0.020618556701,0.0227272727273,12.0
rubber,0.0,0.00280898876404,0.00343642611684,0.0,2.0
requested,0.0,0.00842696629213,0.0549828178694,0.0,19.0
briefly,0.0,0.00842696629213,0.0103092783505,0.0,6.0
separate,0.0,0.00280898876404,0.0481099656357,0.0454545454545,17.0
symbol,0.0,0.00280898876404,0.00343642611684,0.0454545454545,4.0
included,0.0,0.0477528089888,0.0962199312715,0.0,45.0
brass,0.0,0.00561797752809,0.0,0.0,2.0
bilateral,0.0,0.0168539325843,0.0,0.0,6.0
wife,0.0,0.00561797752809,0.0103092783505,0.0,5.0
invest,0.0,0.00280898876404,0.0137457044674,0.0,5.0
directors,0.0,0.00561797752809,0.00687285223368,0.0,4.0
missouri,0.0,0.0168539325843,0.00343642611684,0.0,7.0
apparel,0.0,0.00280898876404,0.00343642611684,0.0,2.0
lack,0.0,0.0252808988764,0.0274914089347,0.0227272727273,18.0
pta,0.0,0.00842696629213,0.00343642611684,0.0,4.0
ladders,0.0,0.00561797752809,0.0,0.0,2.0
settlement,0.0,0.00280898876404,0.0240549828179,0.0,8.0
vacancies,0.0,0.0477528089888,0.020618556701,0.0227272727273,24.0
opportunities,0.0,0.0308988764045,0.0927835051546,0.0227272727273,39.0
removal,0.0,0.00280898876404,0.00687285223368,0.0,3.0
program,0.0,0.424157303371,0.893470790378,0.159090909091,418.0
prograi,0.0,0.00842696629213,0.00687285223368,0.0227272727273,6.0
activities,0.0,0.0224719101124,0.0446735395189,0.0227272727273,22.0
woman,0.0,0.0112359550562,0.00343642611684,0.0,5.0
infringement,0.0,0.00280898876404,0.00687285223368,0.0,3.0
sons,0.0,0.00280898876404,0.0103092783505,0.0227272727273,5.0
awful,0.0,0.0112359550562,0.0,0.0,4.0
treating,0.0,0.00280898876404,0.00343642611684,0.0,2.0
list,0.0,0.0112359550562,0.0274914089347,0.0454545454545,14.0
prolonged,0.0,0.00561797752809,0.0,0.0,2.0
rate,0.0,0.0168539325843,0.0137457044674,0.0,10.0
design,0.0,0.00280898876404,0.00343642611684,0.0,2.0
sue,0.0,0.00842696629213,0.0481099656357,0.0,17.0
deeply,0.0,0.00842696629213,0.0274914089347,0.0454545454545,13.0
sum,0.0,0.00842696629213,0.00343642611684,0.0,4.0
version,0.0,0.00280898876404,0.0721649484536,0.0227272727273,23.0
vamos,0.0,0.00280898876404,0.00687285223368,0.0,3.0
christian,0.0,0.00280898876404,0.0137457044674,0.0227272727273,6.0
tragedy,0.0,0.0308988764045,0.0240549828179,0.0,18.0
d.c,0.0,0.00561797752809,0.0,0.0,2.0
matsui,0.0,0.00561797752809,0.0,0.0,2.0
infringe,0.0,0.00280898876404,0.00343642611684,0.0,2.0
options,0.0,0.00842696629213,0.00343642611684,0.0227272727273,5.0
imaging,0.0,0.00842696629213,0.0,0.0,3.0
suddenly,0.0,0.00280898876404,0.00343642611684,0.0,2.0
proceed,0.0,0.0112359550562,0.00687285223368,0.0,6.0
unthinkable,0.0,0.0196629213483,0.0,0.0,7.0
horses,0.0,0.247191011236,0.0378006872852,0.227272727273,109.0
knows,0.0,0.0196629213483,0.0652920962199,0.0,26.0
operators,0.0,0.00561797752809,0.00343642611684,0.0,3.0
known,0.0,0.0168539325843,0.00343642611684,0.0454545454545,9.0
glad,0.0,0.00561797752809,0.0103092783505,0.0227272727273,6.0
debates,0.0,0.0140449438202,0.0137457044674,0.0,9.0
debated,0.0,0.0196629213483,0.0137457044674,0.0,11.0
unfairness,0.0,0.00842696629213,0.0,0.0,3.0
computers,0.0,0.00280898876404,0.00687285223368,0.0,3.0
challenging,0.0,0.00842696629213,0.00343642611684,0.0,4.0
methodist,0.0,0.00280898876404,0.020618556701,0.0,7.0
goal,0.0,0.0337078651685,0.0549828178694,0.0,28.0
explains,0.0,0.00280898876404,0.00343642611684,0.0227272727273,3.0
weaknesses,0.0,0.0112359550562,0.0,0.0,4.0
emphasizes,0.0,0.0112359550562,0.00687285223368,0.0,6.0
reflect,0.0,0.0112359550562,0.0171821305842,0.0,9.0
